Timestamp,1.What is your age group?,2. What is your occupation ?,3. What is your gender?,4. Which UPI-based digital banking app do you use the most? ,5. How often do you use digital banking apps?,6.How satisfied are you with your overall experience using UPI-based digital banking apps?,7. Have you ever stopped using a digital banking app/service?,8. What is the main reason for discontinuing the use of a UPI-based digital banking app?,9. What is the most important factor for you while using a digital banking platform?,10. Which factor makes you stay loyal to a digital banking app?,11. Do attractive offers Motivate you to continue using the same app?,"12. According to you, what improvements are needed in digital banking services?"
2026/05/28 5:14:05 PM GMT+5:30,26-35,Working Professional,Male,PhonePe,Multiples times a day,5,No,Not applicable,Security,Security,Yes,rewards
2026/05/28 5:29:56 PM GMT+5:30,45+,Working Professional,Male,Goggle Pay,Multiples times a day,5,No,Not Applicable,Security,Easy usage,No,I am fully satisfied and as far as improvements are concerned - secured transaction is utmost important so digital fraud not to happen
2026/05/28 5:40:23 PM GMT+5:30,18-25,Student,Female,Goggle Pay,Daily,5,No,Security concern,Fast Transaction,Security,Maybe,Using AI to improve.
2026/05/28 5:40:33 PM GMT+5:30,18-25,Working Professional,Male,Cred,Multiples times a day,5,No,Not Applicable,Cashback/Rewards,Cashback,Yes,Customer support is something they need to work on. Like I hate IVRs and theu never connect to genuine humans very often.
2026/05/28 5:51:00 PM GMT+5:30,18-25,Student,Female,Goggle Pay,Daily,5,No,Not Applicable,Cashback/Rewards,Security,Yes,Digital banking services need stronger security to protect customer data and prevent fraud
2026/05/28 6:03:19 PM GMT+5:30,26-35,Working Professional,Female,Goggle Pay,Daily,4,Yes,Technical/app issues,Cashback/Rewards,Easy usage,Yes,While transferring money to an account and sometimes by mistakenly it sent to another account so it should provide a pop up that this contact is not in your contact list. So everybody will be aware of the money gets transferred someone unknown.
2026/05/28 6:13:26 PM GMT+5:30,18-25,Working Professional,Male,Paytm,Multiples times a day,5,No,Not Applicable,Security,Security,Maybe,"Security measures should be improved, and cyber frauds must be reduced."
2026/05/28 6:29:16 PM GMT+5:30,26-35,Working Professional,Female,Paytm,Multiples times a day,5,No,Not Applicable,Security,Security,Yes,Upi limit to be exceeded from 20000
2026/05/28 6:31:38 PM GMT+5:30,26-35,Working Professional,Female,Goggle Pay,Daily,5,No,Not Applicable,Easy Interface,Easy usage,No,There is no need of further improvement
2026/05/28 6:43:37 PM GMT+5:30,45+,Retired from Govt job.,Female,Debit cards,Occasionally,5,No,Not Applicable,Easy Interface,Easy usage,No,Banking services may more simpler.
2026/05/28 6:51:35 PM GMT+5:30,45+,Working Professional,Female,Goggle Pay,Weekly,5,No,Not Applicable,Security,Security,Yes,More secure
2026/05/28 7:35:01 PM GMT+5:30,26-35,Working Professional,Male,Paytm,Daily,5,No,Not Applicable,Easy Interface,Easy usage,Yes,One unified govt based upi app
2026/05/28 7:38:47 PM GMT+5:30,45+,Business,Female,Goggle Pay,Multiples times a day,5,No,Not Applicable,Fast Transaction,Easy usage,No,Loyalty points
2026/05/28 7:48:52 PM GMT+5:30,18-25,Student,Female,Goggle Pay,Weekly,4,No,Technical/app issues,Easy Interface,Fast customer support,Yes,Bad network issue should be reduced.. for easy and fast transactions
2026/05/28 8:21:40 PM GMT+5:30,26-35,Working Professional,Male,Goggle Pay,Multiples times a day,4,No,Not Applicable,Security,Easy usage,No,"Digital banking needs to stop being so confusing and crowded. It should focus on fixing annoying technical payment failures, stopping clever online scammers before they steal your money, and adding easy voice commands in local languages so that everyone especially our elders can use it without any help."
2026/05/28 8:54:14 PM GMT+5:30,36-45,Working Professional,Male,Goggle Pay,Multiples times a day,5,No,Not Applicable,Easy Interface,Easy usage,Maybe,Security
2026/05/28 9:02:51 PM GMT+5:30,18-25,Student,Male,PhonePe,Daily,5,No,Not Applicable,Fast Transaction,Easy usage,Yes,Nothing just only server issue
2026/05/28 9:12:22 PM GMT+5:30,18-25,Student,Male,Goggle Pay,Multiples times a day,5,No,Not Applicable,Security,Security,No,Network problems can be fixed
2026/05/28 9:15:28 PM GMT+5:30,18-25,Student,Female,Goggle Pay,Weekly,4,Yes,Not Applicable,Security,Easy usage,No,Nothing
2026/05/28 9:27:17 PM GMT+5:30,26-35,Working Professional,Female,Goggle Pay,Weekly,5,No,Not Applicable,Fast Transaction,Easy usage,No,The concern should be on security.
