timestamp,1.what_is_your_age_group?,2._what_is_your_occupation_?,3._what_is_your_gender?,4._which_upi_based_digital_banking_app_do_you_use_the_most?,5._how_often_do_you_use_digital_banking_apps?,6.how_satisfied_are_you_with_your_overall_experience_using_upi_based_digital_banking_apps?,7._have_you_ever_stopped_using_a_digital_banking_app/service?,8._what_is_the_main_reason_for_discontinuing_the_use_of_a_upi_based_digital_banking_app?,9._what_is_the_most_important_factor_for_you_while_using_a_digital_banking_platform?,10._which_factor_makes_you_stay_loyal_to_a_digital_banking_app?,11._do_attractive_offers_motivate_you_to_continue_using_the_same_app?,"12._according_to_you,_what_improvements_are_needed_in_digital_banking_services?",satisfaction_level,frequent_user,churn_intention,digital_adoption_level,risk_segment,customer_value_score
2026/05/28 5:14:05 PM GMT+5:30,26-35,Working Professional,Male,PhonePe,Multiples times a day,5,No,Not applicable,Security,Security,Yes,rewards,Unknown,No,No,Low,Low Risk,1
2026/05/28 5:29:56 PM GMT+5:30,45+,Working Professional,Male,Goggle Pay,Multiples times a day,5,No,Not Applicable,Security,Easy usage,No,I am fully satisfied and as far as improvements are concerned - secured transaction is utmost important so digital fraud not to happen,Unknown,No,No,Low,Low Risk,1
2026/05/28 5:40:23 PM GMT+5:30,18-25,Student,Female,Goggle Pay,Daily,5,No,Security concern,Fast Transaction,Security,Maybe,Using AI to improve.,Unknown,No,No,Low,Low Risk,1
2026/05/28 5:40:33 PM GMT+5:30,18-25,Working Professional,Male,Cred,Multiples times a day,5,No,Not Applicable,Cashback/Rewards,Cashback,Yes,Customer support is something they need to work on. Like I hate IVRs and theu never connect to genuine humans very often.,Unknown,No,No,Low,Low Risk,1
2026/05/28 5:51:00 PM GMT+5:30,18-25,Student,Female,Goggle Pay,Daily,5,No,Not Applicable,Cashback/Rewards,Security,Yes,Digital banking services need stronger security to protect customer data and prevent fraud,Unknown,No,No,Low,Low Risk,1
2026/05/28 6:03:19 PM GMT+5:30,26-35,Working Professional,Female,Goggle Pay,Daily,4,Yes,Technical/app issues,Cashback/Rewards,Easy usage,Yes,While transferring money to an account and sometimes by mistakenly it sent to another account so it should provide a pop up that this contact is not in your contact list. So everybody will be aware of the money gets transferred someone unknown.,Unknown,No,No,Low,Low Risk,1
2026/05/28 6:13:26 PM GMT+5:30,18-25,Working Professional,Male,Paytm,Multiples times a day,5,No,Not Applicable,Security,Security,Maybe,"Security measures should be improved, and cyber frauds must be reduced.",Unknown,No,No,Low,Low Risk,1
2026/05/28 6:29:16 PM GMT+5:30,26-35,Working Professional,Female,Paytm,Multiples times a day,5,No,Not Applicable,Security,Security,Yes,Upi limit to be exceeded from 20000,Unknown,No,No,Low,Low Risk,1
2026/05/28 6:31:38 PM GMT+5:30,26-35,Working Professional,Female,Goggle Pay,Daily,5,No,Not Applicable,Easy Interface,Easy usage,No,There is no need of further improvement,Unknown,No,No,Low,Low Risk,1
2026/05/28 6:43:37 PM GMT+5:30,45+,Retired from Govt job.,Female,Debit cards,Occasionally,5,No,Not Applicable,Easy Interface,Easy usage,No,Banking services may more simpler.,Unknown,No,No,Low,Low Risk,1
2026/05/28 6:51:35 PM GMT+5:30,45+,Working Professional,Female,Goggle Pay,Weekly,5,No,Not Applicable,Security,Security,Yes,More secure,Unknown,No,No,Low,Low Risk,1
2026/05/28 7:35:01 PM GMT+5:30,26-35,Working Professional,Male,Paytm,Daily,5,No,Not Applicable,Easy Interface,Easy usage,Yes,One unified govt based upi app,Unknown,No,No,Low,Low Risk,1
2026/05/28 7:38:47 PM GMT+5:30,45+,Business,Female,Goggle Pay,Multiples times a day,5,No,Not Applicable,Fast Transaction,Easy usage,No,Loyalty points,Unknown,No,No,Low,Low Risk,1
2026/05/28 7:48:52 PM GMT+5:30,18-25,Student,Female,Goggle Pay,Weekly,4,No,Technical/app issues,Easy Interface,Fast customer support,Yes,Bad network issue should be reduced.. for easy and fast transactions,Unknown,No,No,Low,Low Risk,1
2026/05/28 8:21:40 PM GMT+5:30,26-35,Working Professional,Male,Goggle Pay,Multiples times a day,4,No,Not Applicable,Security,Easy usage,No,"Digital banking needs to stop being so confusing and crowded. It should focus on fixing annoying technical payment failures, stopping clever online scammers before they steal your money, and adding easy voice commands in local languages so that everyone especially our elders can use it without any help.",Unknown,No,No,Low,Low Risk,1
2026/05/28 8:54:14 PM GMT+5:30,36-45,Working Professional,Male,Goggle Pay,Multiples times a day,5,No,Not Applicable,Easy Interface,Easy usage,Maybe,Security,Unknown,No,No,Low,Low Risk,1
2026/05/28 9:02:51 PM GMT+5:30,18-25,Student,Male,PhonePe,Daily,5,No,Not Applicable,Fast Transaction,Easy usage,Yes,Nothing just only server issue,Unknown,No,No,Low,Low Risk,1
2026/05/28 9:12:22 PM GMT+5:30,18-25,Student,Male,Goggle Pay,Multiples times a day,5,No,Not Applicable,Security,Security,No,Network problems can be fixed,Unknown,No,No,Low,Low Risk,1
2026/05/28 9:15:28 PM GMT+5:30,18-25,Student,Female,Goggle Pay,Weekly,4,Yes,Not Applicable,Security,Easy usage,No,Nothing,Unknown,No,No,Low,Low Risk,1
2026/05/28 9:27:17 PM GMT+5:30,26-35,Working Professional,Female,Goggle Pay,Weekly,5,No,Not Applicable,Fast Transaction,Easy usage,No,The concern should be on security.,Unknown,No,No,Low,Low Risk,1
2026/05/28 9:43:18 PM GMT+5:30,18-25,Working Professional,Female,PhonePe,Daily,1,No,Security concern,Fast Transaction,Easy usage,No,there should be no scam if we use online digital payment options,Unknown,No,No,Low,Low Risk,1
2026/05/28 10:03:23 PM GMT+5:30,18-25,Student,Male,Goggle Pay,Weekly,4,No,Better offers on another apps,Security,Security,Yes,"More cashback offers rather than offers based on flight booking, shopping and Increasing UPI based transaction amount limit per day.",Unknown,No,No,Low,Low Risk,1
2026/05/28 11:07:27 PM GMT+5:30,36-45,Working Professional,Female,BHIM,Multiples times a day,3,Yes,Security concern,Cashback/Rewards,Easy usage,Yes,Faster resolution to transaction confirmation during down tine,Unknown,No,No,Low,Low Risk,1
2026/05/29 8:50:20 AM GMT+5:30,26-35,Student,Female,Goggle Pay,Weekly,4,No,Not Applicable,Security,Security,Yes,A good reward in return,Unknown,No,No,Low,Low Risk,1
2026/05/29 9:07:32 AM GMT+5:30,26-35,Working Professional,Female,Goggle Pay,Multiples times a day,5,No,Not Applicable,Easy Interface,Easy usage,Maybe,None so far,Unknown,No,No,Low,Low Risk,1
2026/05/29 9:45:06 AM GMT+5:30,36-45,Working Professional,Male,Paytm,Daily,5,No,Not Applicable,Fast Transaction,Easy usage,No,There should be only cash back option in reward section,Unknown,No,No,Low,Low Risk,1
2026/05/29 10:34:40 AM GMT+5:30,26-35,Working Professional,Female,Goggle Pay,Multiples times a day,4,No,Technical/app issues,Fast Transaction,Fast customer support,Maybe,AI based fraud detection,Unknown,No,No,Low,Low Risk,1
2026/06/03 12:55:10 PM GMT+5:30,26-35,Working Professional,Male,BHIM,Daily,5,No,Not Applicable,Fast Transaction,Easy usage,Yes,Limit enchantment with added security,Unknown,No,No,Low,Low Risk,1
2026/06/03 1:10:04 PM GMT+5:30,18-25,Student,Female,PhonePe,Multiples times a day,5,Yes,Better offers on another apps,Customer support,Easy usage,Yes,"We should do this, it may be best for us.",Unknown,No,No,Low,Low Risk,1
2026/06/03 1:56:16 PM GMT+5:30,26-35,Working Professional,Female,Goggle Pay,Multiples times a day,1,No,Poor customer support,Fast Transaction,Easy usage,No,Customer service needs improvement,Unknown,No,No,Low,Low Risk,1
